date,platform,post_id,text,likes,views
2025-07-01,instagram,ig_001,Loving the #red #denim jacket — cozy vibe for rainy days. #minimal,320,5500
2025-07-02,tiktok,tt_001,Summer #blue dress with floral print feels so #romantic #lightweight,410,8800
2025-07-03,instagram,ig_002,Back to basics: #black tee and #denim shorts. #edgy mood,220,4000
2025-07-05,pinterest,pi_001,Soft #pastel palette and #linen shirts. #cozy,150,2300
2025-07-08,instagram,ig_003,"Street style: #leather boots, #black blazer — confident and #bold",500,10000
2025-07-10,tiktok,tt_002,Trying a #green #knit cardigan. #comfort #minimal,260,4500
2025-07-12,instagram,ig_004,Weekend outfit: #white sneakers & #denim skirt. #casual,330,6200
2025-07-14,pinterest,pi_002,"Moodboard: #floral prints + #pastel tones, so #romantic",200,3100
2025-07-16,tiktok,tt_003,Office look: #beige #linen pants with #white shirt. #minimal,270,5000
2025-07-18,instagram,ig_005,"Night out: #black #leather pants, #edgy energy",480,9400
2025-07-21,instagram,ig_006,"Beach day: #blue #knit top, #casual vibes",350,7200
2025-07-23,tiktok,tt_004,Try #red scarf with #white dress — bright and #romantic,420,9000
2025-07-26,pinterest,pi_003,Textures: #knit and #linen are trending. #cozy,180,2900
2025-07-28,instagram,ig_007,City fit: #denim jacket + #black jeans. #edgy,260,4800
2025-07-30,tiktok,tt_005,Light #pastel cardigans for fall previews. #minimal,300,5600
2025-08-02,instagram,ig_008,Renewed love for #green #linen shirts. #casual,310,6100
2025-08-05,pinterest,pi_004,Boards: #floral #blue palettes feel #romantic,210,3400
2025-08-07,tiktok,tt_006,Bold #red blazer + #black pants. #confident #edgy,520,11000
2025-08-10,instagram,ig_009,Chill #white tee with #denim — timeless. #minimal,290,5300
2025-08-12,tiktok,tt_007,Cozy #knit sets in #beige — calm #mood,275,5100
